runtime_minutes,genres,average_ratings,number_of_votes,release_date,title,production_budget,domestic_gross,worldwide_gross,Total_gross,ROI,month,season,movie_rating,movie_length,genre_1,genre_combined,Budget_Category,Break_Even,Profit_Margin,quarter,year,peak_season
91,"Action,Animation,Comedy",1,8248,2013-05-07,Foodfight!,45000000,0,73706,73706,-99.83620888888889,5,Spring,low,Medium,Action,Action & Animation,Medium,False,-609.533742164817,2013Q2,2013,Non-Peak
88,Unkown,7,24,2015-06-19,The Overnight,200000,1109808,1165996,2275804,1037.902,6,Summer,Average,Medium,Unkown,Unkown,Low,True,0.9121189698234119,2015Q2,2015,Peak
124,"Adventure,Drama,Romance",6,37886,2012-12-21,On the Road,25000000,720828,9313302,10034130,-59.86348,12,Winter,Average,Long,Adventure,Adventure & Drama,Medium,False,-1.491496522369154,2012Q4,2012,Peak
114,"Adventure,Comedy,Drama",7,275300,2013-12-25,The Secret Life of Walter Mitty,91000000,58236838,187861183,246098021,170.4373857142857,12,Winter,Average,Medium,Adventure,Adventure & Comedy,High,True,0.630228639668744,2013Q4,2013,Peak
114,"Action,Crime,Drama",6,105116,2014-09-19,A Walk Among the Tombstones,28000000,26017685,62108587,88126272,214.7366857142857,9,Fall,Average,Medium,Action,Action & Crime,Medium,True,0.68227408961541,2014Q3,2014,Non-Peak
124,"Action,Adventure,Sci-Fi",7,539338,2015-06-12,Jurassic World,215000000,652270625,1648854864,2301125489,970.290925116279,6,Summer,Average,Long,Action,Action & Adventure,High,True,0.906567459694068,2015Q2,2015,Peak
119,"Comedy,Drama",6,94787,2011-10-27,The Rum Diary,45000000,13109815,21544732,34654547,-22.989895555555556,10,Fall,Average,Medium,Comedy,Comedy & Drama,Medium,False,-0.2985308969700282,2011Q4,2011,Non-Peak
92,"Comedy,Family",5,28570,2012-04-13,The Three Stooges,30000000,44338224,54052249,98390473,227.96824333333333,4,Spring,Average,Medium,Comedy,Comedy & Family,Medium,True,0.6950924303412994,2012Q2,2012,Non-Peak
98,"Comedy,Drama,Romance",5,106,2010-05-20,Anderson's Cross,300000,0,0,0,-100.0,5,Spring,Average,Medium,Comedy,Comedy & Drama,Low,False,-inf,2010Q2,2010,Non-Peak
100,"Adventure,Animation,Comedy",7,366366,2010-11-24,Tangled,260000000,200821936,586477240,787299176,202.8073753846154,11,Fall,Average,Medium,Adventure,Adventure & Animation,High,True,0.6697570530672066,2010Q4,2010,Peak
132,"Action,Adventure,Sci-Fi",6,241792,2012-03-09,John Carter,275000000,73058679,282778100,355836779,29.39519236363636,3,Spring,Average,Long,Action,Action & Adventure,High,True,0.2271737599108607,2012Q1,2012,Non-Peak
144,"Action,Thriller",3,2862,1988-02-12,Action Jackson,7000000,20257000,20257000,40514000,478.77142857142854,2,Winter,low,Long,Action,Action & Thriller,Low,True,0.8272202201708051,1988Q1,1988,Non-Peak
114,Comedy,5,91546,2010-07-30,Dinner for Schmucks,69000000,73026337,86796502,159822839,131.62730289855074,7,Summer,Average,Medium,Comedy,Comedy,Medium,True,0.5682719664365367,2010Q3,2010,Peak
117,"Action,Adventure,Thriller",6,235256,2010-06-11,The A-Team,110000000,77222099,177241171,254463270,131.33024545454546,6,Summer,Average,Medium,Action,Action & Adventure,High,True,0.5677175727561782,2010Q2,2010,Peak
92,"Horror,Mystery,Thriller",5,53649,2012-08-31,The Possession,14000000,49130588,82925064,132055652,843.254657142857,8,Summer,Average,Medium,Horror,Horror & Mystery,Low,True,0.8939840908891957,2012Q3,2012,Non-Peak
127,"Action,Drama,Family",7,283534,2011-10-06,Real Steel,110000000,85463309,263880341,349343650,217.58513636363634,10,Fall,Average,Long,Action,Action & Drama,High,True,0.685123802880058,2011Q4,2011,Non-Peak
97,"Drama,Romance,Sci-Fi",6,104999,2014-08-11,The Giver,25000000,45090374,66540205,111630579,346.522316,8,Summer,Average,Medium,Drama,Drama & Romance,Medium,True,0.7760470274009776,2014Q3,2014,Non-Peak
103,"Adventure,Animation,Comedy",8,682218,2010-06-17,Toy Story 3,200000000,415004880,1068879522,1483884402,641.942201,6,Summer,High,Medium,Adventure,Adventure & Animation,High,True,0.8652186115505782,2010Q2,2010,Peak
150,"Biography,Drama,History",7,228701,2012-11-16,Lincoln,65000000,182207973,273346281,455554254,600.8526984615385,11,Fall,Average,Long,Biography,Biography & Drama,Medium,True,0.8573166655140049,2012Q4,2012,Peak
95,"Comedy,Drama,Romance",6,45181,2015-05-21,Before We Go,3000000,37151,483938,521089,-82.63036666666666,5,Spring,Average,Medium,Comedy,Comedy & Drama,Low,False,-4.757173918466903,2015Q2,2015,Non-Peak
90,"Action,Adventure,Animation",6,133355,2011-10-28,Puss in Boots,130000000,149260504,554987477,704247981,441.72921615384615,10,Fall,Average,Medium,Action,Action & Adventure,High,True,0.8154059315648929,2011Q4,2011,Non-Peak
141,"Action,Adventure,Fantasy",7,487527,2013-09-29,Wonder Woman,150000000,412563408,821133378,1233696786,722.464524,9,Fall,Average,Long,Action,Action & Adventure,High,True,0.8784142086595336,2013Q3,2013,Non-Peak
141,"Action,Adventure,Fantasy",7,487527,2017-06-02,Wonder Woman,150000000,412563408,821133378,1233696786,722.464524,6,Summer,Average,Long,Action,Action & Adventure,High,True,0.8784142086595336,2017Q2,2017,Peak
128,"Biography,Drama,Sport",7,77703,2013-04-12,42,31000000,95020213,97470701,192490914,520.9384322580645,4,Spring,Average,Long,Biography,Biography & Drama,Medium,True,0.838953437563292,2013Q2,2013,Non-Peak
127,"Adventure,Drama,Fantasy",7,535836,2012-11-21,Life of Pi,120000000,124987022,620912003,745899025,521.5825208333333,11,Fall,Average,Long,Adventure,Adventure & Drama,High,True,0.8391203152464236,2012Q4,2012,Peak
101,"Horror,Thriller",6,104465,2010-02-26,The Crazies,19000000,39123589,56445534,95569123,402.99538421052625,2,Winter,Average,Medium,Horror,Horror & Thriller,Low,True,0.8011910185677857,2010Q1,2010,Non-Peak
132,"Action,Crime,Thriller",7,302302,2014-09-26,The Equalizer,55000000,101530738,192903624,294434362,435.33520363636364,9,Fall,Average,Long,Action,Action & Crime,Medium,True,0.8132011507542724,2014Q3,2014,Non-Peak
124,"Action,Adventure,Sci-Fi",6,668137,2011-07-22,Captain America: The First Avenger,140000000,176654505,370569776,547224281,290.8744864285714,7,Summer,Average,Long,Action,Action & Adventure,High,True,0.7441633990652545,2011Q3,2011,Peak
